n, time_ns, comparisons, allocations, max_recursion_depth
20, 3001700, 19, 8, 4
30, 132600, 30, 14, 5
40, 164300, 53, 16, 5
50, 202300, 63, 18, 6
60, 198100, 73, 28, 6
70, 279600, 80, 32, 6
80, 206600, 86, 32, 6
90, 205800, 107, 32, 6
100, 286100, 120, 36, 7
110, 307200, 130, 46, 7
120, 320700, 136, 56, 7
130, 325900, 143, 64, 7
140, 394800, 158, 64, 7
150, 537100, 168, 64, 7
160, 457000, 200, 64, 7
170, 379000, 204, 64, 7
180, 416900, 245, 64, 7
190, 285200, 251, 64, 7
200, 220100, 253, 72, 8
210, 307600, 255, 82, 8
220, 423100, 264, 92, 8
230, 422400, 265, 102, 8
240, 398600, 282, 112, 8
250, 350000, 270, 122, 8
260, 372800, 277, 128, 8
270, 341400, 311, 128, 8
280, 287100, 316, 128, 8
290, 307100, 352, 128, 8
300, 301500, 357, 128, 8
310, 322200, 384, 128, 8
320, 497700, 414, 128, 8
330, 378800, 417, 128, 8
340, 410100, 447, 128, 8
350, 271100, 460, 128, 8
360, 247800, 492, 128, 8
370, 242800, 500, 128, 8
380, 255300, 505, 128, 8
390, 249900, 524, 134, 9
400, 400100, 539, 144, 9
410, 468200, 522, 154, 9
420, 447200, 544, 164, 9
430, 444900, 529, 174, 9
440, 542100, 541, 184, 9
450, 476700, 542, 194, 9
460, 432700, 539, 204, 9
470, 513600, 567, 214, 9
480, 431100, 538, 224, 9
490, 653200, 561, 234, 9
500, 558100, 567, 244, 9
510, 441000, 569, 254, 9
520, 416300, 578, 256, 9
530, 342300, 587, 256, 9
540, 267200, 615, 256, 9
550, 317800, 658, 256, 9
560, 313100, 644, 256, 9
570, 282200, 670, 256, 9
580, 365600, 687, 256, 9
590, 491900, 712, 256, 9
600, 520400, 740, 256, 9
610, 479400, 770, 256, 9
620, 470800, 779, 256, 9
630, 352600, 771, 256, 9
640, 714300, 803, 256, 9
650, 580200, 834, 256, 9
660, 644300, 829, 256, 9
670, 961400, 859, 256, 9
680, 678100, 875, 256, 9
690, 602400, 903, 256, 9
700, 589600, 936, 256, 9
710, 601000, 938, 256, 9
720, 570200, 934, 256, 9
730, 638400, 973, 256, 9
740, 639300, 1019, 256, 9
750, 764000, 1033, 256, 9
760, 803700, 1052, 256, 9
770, 989400, 1053, 258, 10
780, 721900, 1071, 268, 10
790, 930200, 1057, 278, 10
800, 695000, 1074, 288, 10
810, 1099100, 1081, 298, 10
820, 773800, 1055, 308, 10
830, 1181100, 1075, 318, 10
840, 1160700, 1097, 328, 10
850, 1710100, 1094, 338, 10
860, 1356300, 1088, 348, 10
870, 890800, 1072, 358, 10
880, 952400, 1097, 368, 10
890, 1136700, 1129, 378, 10
900, 853500, 1109, 388, 10
910, 1151800, 1100, 398, 10
920, 1078400, 1119, 408, 10
930, 1356300, 1087, 418, 10
940, 1427200, 1132, 428, 10
950, 1046300, 1117, 438, 10
960, 2393800, 1091, 448, 10
970, 1598800, 1111, 458, 10
980, 1108500, 1110, 468, 10
990, 1130200, 1143, 478, 10
1000, 1110200, 1142, 488, 10
1010, 1047600, 1123, 498, 10
1020, 1170300, 1123, 508, 10
1030, 1059800, 1154, 512, 10
1040, 1501900, 1187, 512, 10
1050, 1764200, 1192, 512, 10
1060, 2025800, 1230, 512, 10
1070, 2211200, 1233, 512, 10
1080, 1967400, 1239, 512, 10
1090, 1994400, 1245, 512, 10
1100, 1852900, 1288, 512, 10
1110, 1976500, 1297, 512, 10
1120, 1992200, 1331, 512, 10
1130, 2635800, 1355, 512, 10
1140, 3671900, 1363, 512, 10
1150, 2886200, 1417, 512, 10
1160, 3214900, 1440, 512, 10
1170, 1897500, 1421, 512, 10
1180, 2834500, 1450, 512, 10
1190, 2902000, 1478, 512, 10
1200, 2708100, 1450, 512, 10
1210, 2977300, 1477, 512, 10
1220, 2793500, 1522, 512, 10
1230, 1950100, 1532, 512, 10
1240, 2546200, 1580, 512, 10
1250, 2760500, 1554, 512, 10
1260, 2827600, 1602, 512, 10
1270, 3439400, 1646, 512, 10
1280, 2481700, 1611, 512, 10
1290, 2361400, 1674, 512, 10
1300, 3546200, 1660, 512, 10
1310, 2464600, 1703, 512, 10
1320, 2146000, 1725, 512, 10
1330, 2552900, 1754, 512, 10
1340, 2389800, 1739, 512, 10
1350, 2143300, 1784, 512, 10
1360, 2266900, 1831, 512, 10
1370, 2170900, 1819, 512, 10
1380, 2401200, 1832, 512, 10
1390, 2635600, 1884, 512, 10
1400, 2716100, 1920, 512, 10
1410, 2680800, 1897, 512, 10
1420, 2974100, 1893, 512, 10
1430, 2248100, 1924, 512, 10
1440, 2239900, 1950, 512, 10
1450, 2305900, 1990, 512, 10
1460, 3470900, 2005, 512, 10
1470, 2798100, 2006, 512, 10
1480, 2402700, 2037, 512, 10
1490, 2776200, 2052, 512, 10
1500, 2927200, 2059, 512, 10
1510, 3254200, 2077, 512, 10
1520, 2502200, 2096, 512, 10
1530, 1967100, 2117, 512, 10
1540, 1844000, 2122, 516, 11
1550, 1689600, 2152, 526, 11
1560, 1869300, 2146, 536, 11
1570, 2323700, 2144, 546, 11
1580, 2285500, 2142, 556, 11
1590, 2434000, 2115, 566, 11
1600, 1986900, 2200, 576, 11
1610, 1790400, 2141, 586, 11
1620, 2537000, 2188, 596, 11
1630, 2352400, 2183, 606, 11
1640, 2141600, 2174, 616, 11
1650, 3658600, 2178, 626, 11
1660, 2510800, 2187, 636, 11
1670, 2670300, 2168, 646, 11
1680, 2745600, 2214, 656, 11
1690, 2551500, 2246, 666, 11
1700, 2368200, 2187, 676, 11
1710, 2424300, 2208, 686, 11
1720, 2796600, 2213, 696, 11
1730, 2740600, 2227, 706, 11
1740, 2018600, 2200, 716, 11
1750, 1944000, 2257, 726, 11
1760, 2757900, 2226, 736, 11
1770, 2981800, 2220, 746, 11
1780, 2372100, 2243, 756, 11
1790, 2111300, 2182, 766, 11
1800, 2130600, 2207, 776, 11
1810, 2459200, 2224, 786, 11
