n, time_ns, comparisons, allocations, max_recursion_depth
20, 35500, 135, 2, 3
30, 28600, 236, 4, 4
40, 29900, 304, 4, 5
50, 31000, 362, 5, 4
60, 42800, 482, 7, 5
70, 49400, 563, 6, 5
80, 42500, 582, 6, 4
90, 42700, 728, 7, 4
100, 52700, 858, 8, 6
110, 51300, 914, 12, 5
120, 69200, 889, 10, 6
130, 57900, 1112, 12, 6
140, 25500, 531, 3, 4
150, 28600, 594, 4, 4
160, 66300, 1384, 11, 6
170, 96000, 1609, 13, 5
180, 78000, 1485, 14, 5
190, 92700, 1596, 13, 5
200, 149100, 1500, 15, 6
210, 111500, 1849, 17, 6
220, 75100, 1970, 14, 5
230, 61900, 2039, 17, 5
240, 52200, 1842, 13, 6
250, 30600, 1216, 5, 7
260, 76400, 2430, 19, 6
270, 51100, 2338, 19, 5
280, 38300, 2410, 17, 6
290, 79400, 2424, 16, 6
300, 31100, 2046, 14, 6
310, 52000, 2695, 19, 6
320, 11300, 1041, 3, 4
330, 33200, 2896, 20, 6
340, 34300, 3035, 20, 6
350, 17100, 1531, 9, 6
360, 32500, 3105, 19, 6
370, 34700, 2817, 20, 6
380, 38300, 3550, 22, 5
390, 34000, 3335, 21, 6
400, 38800, 3469, 21, 6
410, 37200, 3560, 23, 6
420, 34700, 3305, 21, 6
430, 50000, 3970, 21, 9
440, 35000, 3999, 24, 5
450, 39400, 4174, 22, 6
460, 36900, 4174, 28, 5
470, 16900, 2092, 4, 5
480, 37400, 4511, 27, 7
490, 38500, 4652, 27, 7
500, 35800, 4305, 25, 5
510, 39100, 4832, 23, 5
520, 40400, 5035, 26, 6
530, 38600, 4366, 25, 7
540, 43200, 5125, 29, 6
550, 40100, 4848, 28, 7
560, 45300, 5480, 31, 8
570, 41500, 4836, 25, 6
580, 42300, 5198, 28, 7
590, 40500, 4924, 23, 7
600, 41700, 5070, 22, 6
610, 52200, 5409, 25, 6
620, 24200, 3063, 9, 5
630, 48000, 6067, 30, 7
640, 44100, 5275, 28, 6
650, 50700, 6230, 32, 6
660, 25400, 3087, 12, 6
670, 48700, 5944, 31, 6
680, 50900, 6042, 31, 7
690, 49200, 5881, 26, 9
700, 51300, 6349, 32, 7
710, 55700, 7009, 34, 6
720, 51800, 6390, 32, 8
730, 55000, 6317, 26, 7
740, 54700, 6480, 34, 7
750, 54900, 6798, 32, 8
760, 60800, 7081, 37, 7
770, 51900, 6479, 24, 7
780, 58800, 7139, 34, 7
790, 58500, 7256, 29, 6
800, 61300, 7596, 34, 6
810, 69300, 7944, 34, 7
820, 473300, 7717, 36, 7
830, 258900, 7992, 39, 6
840, 196500, 7308, 30, 6
850, 207300, 7842, 34, 5
860, 240000, 8067, 34, 7
870, 212700, 8016, 35, 7
880, 260500, 7442, 25, 6
890, 321700, 8529, 37, 7
900, 258800, 8519, 40, 7
910, 246400, 7410, 33, 7
920, 243800, 7965, 36, 6
930, 287400, 8216, 40, 8
940, 343500, 9209, 38, 6
950, 308400, 8688, 34, 7
960, 312300, 7905, 38, 6
970, 329700, 9448, 38, 8
980, 237300, 8681, 40, 9
990, 261900, 9790, 43, 6
1000, 226700, 7909, 31, 7
1010, 249000, 9195, 45, 7
1020, 243700, 9711, 37, 9
1030, 260500, 9669, 41, 8
1040, 237400, 9802, 41, 8
1050, 243200, 9536, 41, 7
1060, 251300, 10326, 43, 7
1070, 246100, 9515, 40, 7
1080, 233600, 9216, 42, 9
