n, time_ns, comparisons, allocations, max_recursion_depth
20, 19400, 55, 4, 3
30, 11400, 101, 4, 3
40, 33300, 154, 8, 4
50, 20500, 188, 8, 4
60, 23700, 262, 8, 4
70, 28100, 342, 14, 5
80, 31500, 387, 16, 5
90, 41400, 472, 16, 5
100, 51900, 529, 16, 5
110, 70800, 616, 16, 5
120, 53500, 649, 16, 5
130, 65000, 739, 18, 6
140, 68600, 786, 28, 6
150, 107100, 870, 32, 6
160, 79600, 938, 32, 6
170, 115200, 1011, 32, 6
180, 83100, 1088, 32, 6
190, 53400, 1167, 32, 6
200, 71200, 1280, 32, 6
210, 91300, 1290, 32, 6
220, 69300, 1383, 32, 6
230, 70000, 1525, 32, 6
240, 86500, 1608, 32, 6
250, 31900, 1648, 32, 6
260, 30500, 1731, 36, 7
270, 35600, 1816, 46, 7
280, 44000, 1867, 56, 7
290, 66200, 1941, 64, 7
300, 31900, 2037, 64, 7
310, 32300, 2091, 64, 7
320, 31300, 2179, 64, 7
330, 36900, 2244, 63, 7
340, 71600, 2392, 64, 7
350, 44100, 2463, 64, 7
360, 48800, 2560, 64, 7
370, 43300, 2660, 64, 7
380, 45800, 2741, 64, 7
390, 35000, 2754, 64, 7
400, 36400, 2824, 64, 7
410, 37300, 2962, 64, 7
420, 37000, 3043, 64, 7
430, 38900, 3112, 64, 7
440, 40300, 3226, 64, 7
450, 40800, 3341, 64, 7
460, 42600, 3426, 64, 7
470, 53700, 3515, 64, 7
480, 42100, 3649, 64, 7
490, 45700, 3704, 64, 7
500, 45600, 3853, 64, 7
510, 54600, 3895, 64, 7
520, 47400, 3975, 72, 8
530, 51700, 4047, 82, 8
540, 50600, 4175, 92, 8
550, 53400, 4261, 102, 8
560, 54000, 4315, 112, 8
570, 53700, 4416, 120, 8
580, 55800, 4464, 126, 8
590, 57000, 4549, 127, 8
600, 56900, 4659, 128, 8
610, 59800, 4773, 128, 8
620, 59000, 4834, 128, 8
630, 74100, 4937, 128, 8
640, 61700, 5018, 127, 8
650, 63200, 5204, 127, 8
660, 63400, 5175, 127, 8
670, 64100, 5330, 128, 8
680, 65900, 5400, 128, 8
690, 73200, 5476, 128, 8
700, 69300, 5607, 128, 8
710, 72900, 5677, 128, 8
720, 68800, 5738, 128, 8
730, 70200, 5855, 128, 8
740, 71200, 5994, 128, 8
750, 72200, 6067, 128, 8
760, 74600, 6167, 128, 8
770, 74500, 6248, 128, 8
780, 74800, 6379, 128, 8
790, 82200, 6522, 128, 8
800, 89700, 6536, 128, 8
810, 77900, 6624, 128, 8
820, 80500, 6764, 127, 8
830, 80900, 6867, 128, 8
840, 80900, 6942, 128, 8
850, 82900, 7021, 128, 8
860, 83300, 7107, 128, 8
870, 109000, 7280, 128, 8
880, 118700, 7434, 128, 8
890, 100900, 7479, 128, 8
900, 92300, 7583, 128, 8
910, 93400, 7662, 128, 8
920, 90100, 7874, 128, 8
930, 92700, 7870, 128, 8
940, 96000, 7927, 128, 8
950, 96100, 8130, 128, 8
960, 94800, 8176, 128, 8
970, 93300, 8200, 128, 8
980, 101600, 8376, 128, 8
990, 102500, 8577, 128, 8
1000, 96600, 8567, 128, 8
1010, 101900, 8635, 128, 8
1020, 101100, 8811, 128, 8
1030, 118800, 8902, 134, 9
1040, 102700, 9021, 144, 9
1050, 105500, 9114, 154, 9
1060, 388200, 9167, 164, 9
1070, 274600, 9258, 174, 9
1080, 247800, 9398, 184, 9
1090, 179800, 9518, 194, 9
1100, 177700, 9522, 202, 9
1110, 180700, 9661, 214, 9
1120, 181600, 9743, 223, 9
1130, 181300, 9818, 234, 9
1140, 181400, 9884, 243, 9
1150, 184700, 10050, 253, 9
1160, 192300, 10122, 256, 9
1170, 186500, 10212, 256, 9
1180, 191200, 10345, 253, 9
1190, 188200, 10386, 254, 9
1200, 191400, 10496, 255, 9
