n, time_ns, comparisons, allocations, max_recursion_depth
20, 27000, 67, 71, 2
30, 18900, 107, 87, 3
40, 55800, 189, 155, 3
50, 65600, 266, 203, 3
60, 48800, 274, 206, 4
70, 39000, 453, 309, 3
80, 50100, 432, 304, 4
90, 49800, 474, 354, 4
100, 50400, 738, 465, 4
110, 53800, 669, 411, 5
120, 81100, 784, 536, 5
130, 63700, 935, 695, 4
140, 232200, 985, 717, 5
150, 65100, 1071, 803, 5
160, 118700, 1190, 840, 4
170, 53600, 1344, 996, 4
180, 58300, 1394, 1010, 5
190, 58600, 1306, 954, 5
200, 64900, 1615, 1056, 5
210, 72000, 1490, 1001, 5
220, 97300, 1618, 1103, 5
230, 76500, 2019, 1406, 4
240, 111200, 2114, 1410, 5
250, 61700, 1879, 1277, 5
260, 47600, 2211, 1517, 4
270, 77300, 2362, 1507, 4
280, 37500, 2584, 1703, 5
290, 30200, 2285, 1602, 5
300, 32100, 2458, 1704, 5
310, 34500, 2761, 2059, 5
320, 33400, 2550, 1720, 6
330, 35500, 2818, 1744, 5
340, 41400, 2983, 2003, 6
350, 38100, 2995, 1751, 5
360, 38300, 3084, 1974, 5
370, 42300, 3143, 2267, 6
380, 41300, 3640, 2033, 5
390, 39700, 3262, 2142, 6
400, 57300, 3428, 2211, 5
410, 42700, 3737, 2067, 5
420, 43800, 3864, 2382, 5
430, 45100, 3876, 2490, 5
440, 47200, 3904, 2879, 6
450, 73000, 3923, 2466, 6
460, 48300, 4499, 2503, 5
470, 51800, 4849, 3122, 6
480, 58400, 4634, 2662, 6
490, 55500, 5146, 3592, 5
500, 51900, 4410, 2745, 6
510, 62600, 4612, 3098, 6
520, 55800, 4587, 3150, 5
530, 57500, 4779, 3269, 6
540, 61900, 5512, 3575, 6
550, 57700, 5055, 3184, 7
560, 72300, 5845, 3774, 5
570, 62100, 5516, 3446, 6
580, 63800, 5764, 3760, 6
590, 65300, 5925, 3720, 6
600, 99700, 6505, 4315, 6
610, 120500, 6038, 3972, 5
620, 86000, 5794, 3364, 6
630, 101800, 6525, 3991, 5
640, 110600, 6653, 3938, 6
650, 109700, 6423, 4140, 6
660, 113700, 6721, 4175, 6
670, 116300, 6505, 4150, 5
680, 122100, 7124, 4324, 6
690, 120900, 7073, 5196, 5
700, 101500, 6832, 3914, 6
710, 125600, 7473, 3968, 6
720, 117200, 6886, 4645, 6
730, 127900, 7517, 5059, 6
740, 127700, 7567, 4798, 5
750, 129800, 7865, 4248, 6
760, 131400, 7534, 4857, 6
770, 138500, 8128, 5745, 5
780, 133300, 7694, 4947, 6
790, 141900, 8288, 5386, 6
800, 99800, 8178, 4732, 5
810, 72400, 9104, 5086, 6
820, 72100, 8204, 5437, 6
830, 74300, 8494, 5628, 6
840, 73700, 9286, 5964, 6
850, 89700, 9106, 5846, 6
860, 73600, 8768, 5352, 6
870, 82800, 8382, 5294, 7
880, 77200, 10386, 6697, 6
890, 77600, 9187, 6012, 6
900, 80100, 10224, 6983, 6
910, 79200, 10041, 6669, 6
920, 83200, 10691, 6152, 7
930, 83500, 9677, 6283, 6
940, 81200, 9905, 6349, 6
950, 85900, 10319, 6896, 6
960, 83000, 11427, 6989, 6
970, 87000, 11085, 6589, 6
980, 85900, 10996, 6787, 6
990, 98600, 11183, 6748, 6
1000, 91500, 10055, 6274, 7
1010, 90400, 10555, 6827, 7
1020, 93900, 13451, 8153, 6
